traffic_id,date_time,city,area,vehicle_count,avg_speed_kmh,accident_count,congestion_level,road_condition,visibility_m
10177.0,2024-07-19 14:05:00,London,Greenwich,1166.0,31.678608539713053,3.0,4,Damaged,3185.0
13771.0,,London,Camden,2066.0,60.59691626677203,5.0,Medium,Snowy,5830.0
10091.0,2024-12-25 19:13:00,London,Greenwich,1175.0,44.37105594408164,1.0,Medium,Damaged,1254.0
13818.0,2024-03-03 07:56:00,London,Kensington,2590.0,79.69414191958376,4.0,High,Damaged,7316.0
13376.0,2024-02-28 21:45:00,London,Camden,1945.0,75.92327109521119,1.0,Low,,2510.0
9280.0,2024-01-17 17:24:00,London,Westminster,183.0,72.80895470601774,3.0,Medium,Damaged,7600.0
9997.0,2024-01-26 16:08:00,London,Southwark,578.0,29.464021043071817,5.0,Medium,Snowy,7961.0
9585.0,2024-08-09 11:03:00,London,Kensington,1280.0,21.870436132917355,0.0,Low,Dry,9676.0
10486.0,2024-05-24 11:04:00,London,Islington,2696.0,26.13229557681939,2.0,High,Wet,8819.0
12927.0,2024-11-12 09:31:00,London,Greenwich,,58.13383049592426,4.0,High,Damaged,3970.0
11772.0,2024-05-24 05:31:00,London,Westminster,1297.0,38.97360785375973,5.0,Medium,Wet,9723.0
12652.0,2024-02-26 06:21:00,London,Camden,148.0,41.82480761254132,1.0,,Snowy,
13417.0,2024-05-11 21:17:00,London,Camden,343.0,63.82051812307042,3.0,Low,Wet,4371.0
,2024-01-13 09:10:00,London,Camden,2057.0,63.447566693612394,5.0,High,Wet,8608.0
12945.0,2024-12-04 05:43:00,London,Islington,1582.0,26.036714622858124,0.0,High,Damaged,2235.0
10613.0,2024-02-28 04:27:00,London,Southwark,1489.0,49.54668326773376,1.0,Medium,Snowy,3894.0
12195.0,2024-03-21 23:48:00,London,Westminster,1944.0,44.746792973878584,2.0,High,Snowy,4299.0
9473.0,2024-01-29 06:17:00,London,,2282.0,74.56517687381549,2.0,High,Snowy,9951.0
13732.0,2024-11-26 00:11:00,London,Southwark,2509.0,47.41236919580307,5.0,Low,Dry,9418.0
10581.0,2024-09-01 23:02:00,London,Camden,999.0,26.127003289321735,1.0,Low,Dry,7627.0
9970.0,2024-07-05 18:58:00,London,Greenwich,1068.0,25.895724387839337,2.0,High,Damaged,8968.0
11225.0,2024-01-09 22:28:00,London,Chelsea,2628.0,22.231054995477038,2.0,Low,Snowy,4462.0
,2024-06-02 08:59:00,London,Camden,1564.0,21.91971176750395,4.0,,Damaged,4907.0
13392.0,2024-10-08 10:54:00,London,Southwark,716.0,72.49229581127344,1.0,Medium,Dry,8513.0
9752.0,2024-07-09 11:55:00,London,Westminster,2647.0,41.065634207486596,2.0,High,Wet,4035.0
13412.0,2024-04-14 04:48:00,London,Chelsea,2052.0,47.83076893720259,3.0,High,Dry,1423.0
9735.0,TBD_TRAFFIC,London,Islington,1293.0,78.23408762613602,1.0,Medium,Snowy,7393.0
9764.0,2024-09-12 19:18:00,London,Westminster,2613.0,47.30422916142615,1.0,Low,Wet,5048.0
12936.0,2024-04-02 20:56:00,London,Westminster,2111.0,77.06698317301911,2.0,Medium,Damaged,8258.0
13948.0,2024-07-22 20:32:00,London,Islington,909.0,68.67740897352843,3.0,High,Wet,20000.0
10127.0,2024-02-14 05:00:00,London,Westminster,1936.0,48.413865341737996,4.0,Medium,Wet,
12581.0,2024-07-14 05:11:00,London,Southwark,922.0,26.882156741001104,2.0,Low,Wet,7477.0
12981.0,2024-10-10 11:44:00,London,Islington,1712.0,77.48428290316207,1.0,,Snowy,4656.0
13587.0,2024-04-06 02:31:00,London,Westminster,459.0,21.82872514849211,0.0,High,Damaged,5667.0
12287.0,2024-08-10 13:51:00,London,Westminster,2802.0,28.034675270171306,2.0,High,Wet,9446.0
9945.0,2024-06-04 14:24:00,London,Westminster,1220.0,56.05201354087913,5.0,Medium,Dry,3277.0
13199.0,2024-04-30 06:59:00,London,Kensington,1336.0,24.252848657213264,1.0,High,Dry,2703.0
11407.0,2024-01-28 19:25:00,London,Greenwich,1342.0,72.43409540090148,5.0,Low,Snowy,3718.0
11719.0,2024-09-26 08:52:00,London,Westminster,2498.0,75.37438308864054,5.0,High,Damaged,8493.0
13350.0,2024-07-05 08:12:00,London,Kensington,2980.0,73.49831918965896,2.0,Low,Damaged,7395.0
9347.0,2024-04-04 01:37:00,London,Kensington,1364.0,28.97762594672713,0.0,Medium,Snowy,2900.0
10421.0,2024-12-14 18:33:00,London,Chelsea,2938.0,37.92446517505745,4.0,High,Snowy,7306.0
9472.0,2024-01-13 19:14:00,London,Camden,2717.0,37.518775470960776,2.0,Medium,Snowy,5462.0
10262.0,2024-03-10 02:36:00,London,Camden,2638.0,59.12068639313557,2.0,Low,Snowy,1902.0
12810.0,2024-06-04 03:23:00,London,Camden,1595.0,76.03442251029934,0.0,Medium,Snowy,1018.0
12883.0,2024-04-27 03:30:00,London,Kensington,2782.0,25.004829240871665,1.0,High,Snowy,2741.0
11347.0,2024-04-07 18:39:00,London,Southwark,1420.0,63.56988808259902,3.0,High,Dry,3117.0
11003.0,2024-04-18 19:12:00,London,Greenwich,2486.0,40.273492689511045,0.0,Medium,Damaged,1480.0
13344.0,04/01/2024 02PM,London,Southwark,1323.0,57.814164045023986,5.0,Medium,Damaged,3292.0
13010.0,2024-11-19 04:20:00,London,Islington,1094.0,21.29994065997773,4.0,High,Wet,8004.0
13897.0,2024-09-14 06:39:00,London,Southwark,2202.0,27.320955541249678,4.0,High,Snowy,6264.0
10050.0,2024-04-13 07:51:00,London,Kensington,1843.0,42.41980515997241,1.0,Medium,Wet,7395.0
9747.0,2024-05-30 10:31:00,London,Westminster,2965.0,70.19164535835154,4.0,Medium,Snowy,7342.0
9487.0,2024-02-09 10:25:00,London,Westminster,2135.0,55.92407555940546,0.0,NON_STANDARD,Snowy,5552.0
13551.0,2024-05-05 12:00:00,London,Southwark,2734.0,43.43999425917753,2.0,Low,Wet,2041.0
13580.0,2024-03-21 02:15:00,London,Southwark,,41.75916239144331,0.0,Medium,Snowy,3554.0
9849.0,2024-11-30 07:10:00,London,Southwark,2810.0,45.63724875797585,5.0,Low,Snowy,4612.0
12046.0,2024-04-11 21:27:00,London,Islington,2855.0,39.71076861308029,1.0,High,Snowy,6230.0
13168.0,2024-05-10 04:19:00,London,Southwark,2509.0,39.86238415560106,2.0,Low,Dry,6206.0
10021.0,2024-11-27 00:27:00,London,Chelsea,1334.0,74.51581178840713,0.0,Low,Damaged,2089.0
13889.0,2024-09-25 19:24:00,,Kensington,2192.0,54.20947855626677,4.0,Low,Damaged,2124.0
11226.0,2024-05-23 01:15:00,London,Islington,853.0,25.51737248463889,0.0,High,Snowy,7718.0
9531.0,2024-05-07 20:24:00,London,Camden,2814.0,21.903225598182832,0.0,Medium,Dry,6141.0
9066.0,2024-06-14 23:44:00,London,Islington,2275.0,25.96081994198268,,Low,Snowy,4801.0
13854.0,2024-05-09 01:55:00,London,Chelsea,756.0,71.90808886154343,1.0,Low,Dry,6918.0
11427.0,2024-06-11 08:35:00,London,Greenwich,2471.0,58.445560492660924,3.0,Low,Snowy,3785.0
9411.0,2024-02-21 16:27:00,London,Greenwich,2960.0,56.40133649372895,1.0,High,Dry,8283.0
13747.0,2024-06-24 00:34:00,London,Chelsea,2573.0,53.848970971254936,3.0,Low,Snowy,2693.0
9682.0,2024-12-26 07:14:00,London,Kensington,1379.0,42.69120673627161,0.0,High,Dry,4278.0
11032.0,2024-12-10 11:18:00,London,Southwark,2696.0,78.7613205043804,5.0,Medium,Dry,5323.0
12972.0,2024-09-27 01:44:00,London,Southwark,838.0,78.41934603262297,5.0,Low,Snowy,1541.0
10407.0,2024-08-16 10:43:00,London,Southwark,1377.0,58.170375438984564,2.0,Low,Snowy,8016.0
9834.0,2024-10-13 09:44:00,London,Kensington,970.0,59.26605127744462,5.0,High,Dry,6218.0
9627.0,2024-05-07 08:54:00,London,Westminster,1311.0,79.10337928550695,3.0,Low,Damaged,5526.0
12438.0,2024-06-25 19:02:00,London,Southwark,2330.0,51.85289665785452,1.0,High,Damaged,7658.0
11064.0,2024-05-20 22:07:00,London,Southwark,609.0,21.49554293729272,1.0,High,Damaged,7501.0
12520.0,2024-01-20 15:31:00,London,Chelsea,2057.0,67.94696629094832,0.0,High,Wet,9507.0
9438.0,13/03/2024 02AM,London,Chelsea,2567.0,41.10376325521791,4.0,Medium,Damaged,4171.0
12045.0,2024-07-01 01:01:00,London,Kensington,466.0,58.15908500958402,3.0,Low,Damaged,9483.0
11575.0,2024-02-03 09:51:00,,Kensington,2561.0,28.862026854917307,4.0,Medium,Dry,8045.0
9978.0,2024-09-13 19:29:00,London,Southwark,1505.0,44.08287092662189,5.0,Medium,Snowy,3059.0
